day,day_of_week,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160731,Sunday,10,0,9,1,0,NA,NA,NA,NA,NA
20160801,Monday,14,9,4,1,0,3,0,0,2,1
20160802,Tuesday,20,13,5,0,2,6,2,3,1,0
20160803,Wednesday,15,13,2,0,0,9,5,2,1,1
20160804,Thursday,15,5,6,0,4,5,2,0,3,0
20160805,Friday,16,12,2,2,0,4,2,1,1,0
20160806,Saturday,5,0,1,4,0,NA,NA,NA,NA,NA
20160807,Sunday,9,4,4,1,0,NA,NA,NA,NA,NA
20160808,Monday,18,9,6,3,0,10,8,0,2,0
20160809,Tuesday,12,11,1,0,0,4,4,0,0,0
20160810,Wednesday,16,9,7,0,0,10,8,0,0,2
20160811,Thursday,10,9,0,0,1,1,0,0,0,1
20160812,Friday,13,5,7,1,0,1,1,0,0,0
20160813,Saturday,7,0,5,0,2,NA,NA,NA,NA,NA
20160814,Sunday,10,0,7,1,2,NA,NA,NA,NA,NA
20160815,Monday,14,9,5,0,0,4,2,1,1,0
20160816,Tuesday,18,9,7,2,0,2,1,0,1,0
20160817,Wednesday,20,10,7,1,2,6,3,0,2,1
20160818,Thursday,14,8,6,0,0,3,1,0,1,1
20160819,Friday,11,7,2,0,2,5,3,1,0,1
20160820,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160821,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160822,Monday,16,8,6,2,0,9,8,1,0,0
20160823,Tuesday,12,5,4,1,2,8,8,0,0,0
20160824,Wednesday,11,7,3,1,0,5,1,1,3,0
20160825,Thursday,6,4,1,0,1,5,5,0,0,0
20160826,Friday,10,10,0,0,0,5,4,1,0,0
20160827,Saturday,13,0,9,2,2,NA,NA,NA,NA,NA
20160828,Sunday,3,0,2,1,0,NA,NA,NA,NA,NA
20160829,Monday,12,9,2,1,0,2,1,1,0,0
20160830,Tuesday,17,8,6,2,1,3,3,0,0,0
20160831,Wednesday,18,8,7,3,0,4,4,0,0,0
20160901,Thursday,12,6,5,1,0,9,7,0,2,0
20160902,Friday,7,3,3,1,0,2,2,0,0,0
20160903,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160904,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160905,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160906,Tuesday,15,7,4,2,2,5,4,0,1,0
20160907,Wednesday,13,7,5,1,0,4,1,0,1,2
20160908,Thursday,15,10,4,1,0,5,2,1,1,1
20160909,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160910,Saturday,3,0,3,0,0,NA,NA,NA,NA,NA
20160911,Sunday,2,0,0,2,0,NA,NA,NA,NA,NA
20160912,Monday,18,10,5,1,2,4,2,2,0,0
20160913,Tuesday,20,13,6,1,0,5,2,0,1,2
20160914,Wednesday,12,7,1,4,0,3,2,0,1,0
20160915,Thursday,16,8,5,0,3,3,0,1,1,1
20160916,Friday,23,10,11,0,2,6,5,0,1,0
20160917,Saturday,1,0,1,0,0,NA,NA,NA,NA,NA
20160918,Sunday,1,0,1,0,0,NA,NA,NA,NA,NA
20160919,Monday,18,11,5,1,1,4,2,1,1,0
20160920,Tuesday,14,10,3,1,0,3,3,0,0,0
20160921,Wednesday,14,9,5,0,0,3,3,0,0,0
20160922,Thursday,13,6,7,0,0,3,1,1,1,0
20160923,Friday,11,4,3,4,0,2,1,0,1,0
20160924,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160925,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160926,Monday,17,6,8,1,2,3,2,1,0,0
20160927,Tuesday,12,6,4,1,1,4,2,0,2,0
20160928,Wednesday,13,5,6,2,0,5,3,1,1,0
20160929,Thursday,17,6,8,2,1,2,0,0,2,0
20160930,Friday,8,4,3,1,0,7,6,1,0,0
20161001,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161002,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161003,Monday,10,2,6,2,0,NA,NA,NA,NA,NA
20161004,Tuesday,16,12,4,0,0,NA,NA,NA,NA,NA
20161005,Wednesday,18,8,7,1,2,5,4,1,0,0
20161006,Thursday,13,5,5,1,2,11,9,1,0,1
20161007,Friday,15,11,3,1,0,3,2,0,1,0
20161008,Saturday,7,0,5,1,1,NA,NA,NA,NA,NA
20161009,Sunday,9,0,7,2,0,NA,NA,NA,NA,NA
20161010,Monday,13,7,4,2,0,8,6,1,1,0
20161011,Tuesday,13,10,2,1,0,4,1,1,2,0
20161012,Wednesday,17,5,9,2,1,4,2,1,1,0
20161013,Thursday,18,7,9,2,0,5,3,0,1,1
20161014,Friday,17,8,9,0,0,2,1,0,1,0
20161015,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161016,Sunday,5,0,5,0,0,NA,NA,NA,NA,NA
20161017,Monday,14,11,3,0,0,5,1,1,2,1
20161018,Tuesday,13,7,4,0,2,9,6,3,0,0
20161019,Wednesday,11,7,3,1,0,2,1,0,1,0
20161020,Thursday,15,6,6,3,0,5,3,0,1,1
20161021,Friday,16,10,4,0,2,2,1,0,0,1
20161022,Saturday,7,0,3,4,0,NA,NA,NA,NA,NA
